INFO  - 2015-09-14 21:19:18.156; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2015-09-14 21:19:18.184; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /Users/carlos/master-chef/solr-4.9.1/example/contexts at interval 0
INFO  - 2015-09-14 21:19:18.190; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /Users/carlos/master-chef/solr-4.9.1/example/contexts/solr-jetty-context.xml
INFO  - 2015-09-14 21:19:18.240; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/Users/carlos/master-chef/solr-4.9.1/example/webapps/solr.war!/ to /Users/carlos/master-chef/solr-4.9.1/example/solr-webapp/webapp
INFO  - 2015-09-14 21:19:19.514; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2015-09-14 21:19:19.563; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2015-09-14 21:19:19.583; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2015-09-14 21:19:19.584; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2015-09-14 21:19:19.584; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2015-09-14 21:19:19.681; org.apache.solr.core.ConfigSolr; Loading container configuration from /Users/carlos/master-chef/solr-4.9.1/example/solr/solr.xml
INFO  - 2015-09-14 21:19:19.773; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /Users/carlos/master-chef/solr-4.9.1/example/solr
INFO  - 2015-09-14 21:19:19.780; org.apache.solr.core.CoreContainer; New CoreContainer 282265585
INFO  - 2015-09-14 21:19:19.781; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2015-09-14 21:19:19.791; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2015-09-14 21:19:19.792; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2015-09-14 21:19:19.796; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2015-09-14 21:19:19.797; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2015-09-14 21:19:19.798; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2015-09-14 21:19:19.798; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2015-09-14 21:19:19.799; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2015-09-14 21:19:19.799; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2015-09-14 21:19:19.799; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2015-09-14 21:19:19.891; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2015-09-14 21:19:19.892; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2015-09-14 21:19:19.895; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2015-09-14 21:19:19.928; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /Users/carlos/master-chef/solr-4.9.1/example/solr
INFO  - 2015-09-14 21:19:19.938; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in /Users/carlos/master-chef/solr-4.9.1/example/solr/collection1/
INFO  - 2015-09-14 21:19:19.938; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2015-09-14 21:19:19.940; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/Users/carlos/master-chef/solr-4.9.1/example/solr/collection1/'
INFO  - 2015-09-14 21:19:19.993; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2015-09-14 21:19:19.995; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2015-09-14 21:19:19.995; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2015-09-14 21:19:19.996; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/extraction/lib/aspectjrt-1.6.11.jar' to classloader
INFO  - 2015-09-14 21:19:19.996; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2015-09-14 21:19:19.996; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2015-09-14 21:19:19.996; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2015-09-14 21:19:19.997; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/extraction/lib/commons-compress-1.7.jar' to classloader
INFO  - 2015-09-14 21:19:19.997; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2015-09-14 21:19:19.997; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/extraction/lib/fontbox-1.8.4.jar' to classloader
INFO  - 2015-09-14 21:19:19.997; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/extraction/lib/icu4j-53.1.jar' to classloader
INFO  - 2015-09-14 21:19:19.998; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2015-09-14 21:19:19.998; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2015-09-14 21:19:19.998; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/extraction/lib/jempbox-1.8.4.jar' to classloader
INFO  - 2015-09-14 21:19:19.998; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/extraction/lib/jhighlight-1.0.jar' to classloader
INFO  - 2015-09-14 21:19:19.999; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2015-09-14 21:19:19.999; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2015-09-14 21:19:19.999; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/extraction/lib/pdfbox-1.8.4.jar' to classloader
INFO  - 2015-09-14 21:19:19.999; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/extraction/lib/poi-3.10.1.jar' to classloader
INFO  - 2015-09-14 21:19:20.000; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/extraction/lib/poi-ooxml-3.10.1.jar' to classloader
INFO  - 2015-09-14 21:19:20.000; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/extraction/lib/poi-ooxml-schemas-3.10.1.jar' to classloader
INFO  - 2015-09-14 21:19:20.000; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/extraction/lib/poi-scratchpad-3.10.1.jar' to classloader
INFO  - 2015-09-14 21:19:20.000; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2015-09-14 21:19:20.001; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2015-09-14 21:19:20.001; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/extraction/lib/tika-core-1.5.jar' to classloader
INFO  - 2015-09-14 21:19:20.001; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/extraction/lib/tika-parsers-1.5.jar' to classloader
INFO  - 2015-09-14 21:19:20.001; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/extraction/lib/tika-xmp-1.5.jar' to classloader
INFO  - 2015-09-14 21:19:20.002; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2015-09-14 21:19:20.002; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2015-09-14 21:19:20.002; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2015-09-14 21:19:20.002; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/extraction/lib/xmlbeans-2.6.0.jar' to classloader
INFO  - 2015-09-14 21:19:20.003; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/extraction/lib/xmpcore-5.1.2.jar' to classloader
INFO  - 2015-09-14 21:19:20.003; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/extraction/lib/xz-1.4.jar' to classloader
INFO  - 2015-09-14 21:19:20.004; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/dist/solr-cell-4.9.1.jar' to classloader
INFO  - 2015-09-14 21:19:20.005; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/clustering/lib/attributes-binder-1.2.1.jar' to classloader
INFO  - 2015-09-14 21:19:20.005; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/clustering/lib/carrot2-mini-3.9.0.jar' to classloader
INFO  - 2015-09-14 21:19:20.005; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2015-09-14 21:19:20.005; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2015-09-14 21:19:20.006; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
INFO  - 2015-09-14 21:19:20.006; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2015-09-14 21:19:20.006; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2015-09-14 21:19:20.006; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2015-09-14 21:19:20.007; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/dist/solr-clustering-4.9.1.jar' to classloader
INFO  - 2015-09-14 21:19:20.007; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2015-09-14 21:19:20.007; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2015-09-14 21:19:20.008; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/dist/solr-langid-4.9.1.jar' to classloader
INFO  - 2015-09-14 21:19:20.009; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/velocity/lib/commons-beanutils-1.8.3.jar' to classloader
INFO  - 2015-09-14 21:19:20.009; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2015-09-14 21:19:20.009; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2015-09-14 21:19:20.010; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2015-09-14 21:19:20.010; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/carlos/master-chef/solr-4.9.1/dist/solr-velocity-4.9.1.jar' to classloader
INFO  - 2015-09-14 21:19:20.116; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2015-09-14 21:19:20.124; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_4_9
INFO  - 2015-09-14 21:19:20.228; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2015-09-14 21:19:20.234; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2015-09-14 21:19:20.275; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2015-09-14 21:19:20.682; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2015-09-14 21:19:20.759; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/english
INFO  - 2015-09-14 21:19:20.760; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager for path /schema/analysis/synonyms/english
INFO  - 2015-09-14 21:19:20.794; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2015-09-14 21:19:20.798; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2015-09-14 21:19:20.874; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using configuration from instancedir /Users/carlos/master-chef/solr-4.9.1/example/solr/collection1/
INFO  - 2015-09-14 21:19:20.938; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2015-09-14 21:19:20.943; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /Users/carlos/master-chef/solr-4.9.1/example/solr/collection1/, dataDir=/Users/carlos/master-chef/solr-4.9.1/example/solr/collection1/data/
INFO  - 2015-09-14 21:19:20.944; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2015-09-14 21:19:20.948; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2015-09-14 21:19:20.948; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2015-09-14 21:19:20.961; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/carlos/master-chef/solr-4.9.1/example/solr/collection1/data
INFO  - 2015-09-14 21:19:20.969; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/Users/carlos/master-chef/solr-4.9.1/example/solr/collection1/data/index/
WARN  - 2015-09-14 21:19:20.970; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/Users/carlos/master-chef/solr-4.9.1/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2015-09-14 21:19:20.978; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/carlos/master-chef/solr-4.9.1/example/solr/collection1/data/index
INFO  - 2015-09-14 21:19:21.026; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/Users/carlos/master-chef/solr-4.9.1/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/Users/carlos/master-chef/solr-4.9.1/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2015-09-14 21:19:21.026; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2015-09-14 21:19:21.029; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2015-09-14 21:19:21.029; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2015-09-14 21:19:21.029; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2015-09-14 21:19:21.031; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2015-09-14 21:19:21.031; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2015-09-14 21:19:21.101; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2015-09-14 21:19:21.105; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2015-09-14 21:19:21.106; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2015-09-14 21:19:21.110; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2015-09-14 21:19:21.111; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2015-09-14 21:19:21.111; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2015-09-14 21:19:21.113; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2015-09-14 21:19:21.114; org.apache.solr.core.RequestHandlers; created /update/json: solr.UpdateRequestHandler
INFO  - 2015-09-14 21:19:21.114; org.apache.solr.core.RequestHandlers; created /update/csv: solr.UpdateRequestHandler
INFO  - 2015-09-14 21:19:21.114; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2015-09-14 21:19:21.114; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2015-09-14 21:19:21.114; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2015-09-14 21:19:21.114; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2015-09-14 21:19:21.114; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2015-09-14 21:19:21.114; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2015-09-14 21:19:21.116; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2015-09-14 21:19:21.117; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2015-09-14 21:19:21.118; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2015-09-14 21:19:21.130; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2015-09-14 21:19:21.130; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2015-09-14 21:19:21.131; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2015-09-14 21:19:21.131; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2015-09-14 21:19:21.131; org.apache.solr.core.RequestHandlers; created /suggest: solr.SearchHandler
INFO  - 2015-09-14 21:19:21.131; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2015-09-14 21:19:21.131; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2015-09-14 21:19:21.132; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2015-09-14 21:19:21.132; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2015-09-14 21:19:21.132; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2015-09-14 21:19:21.132; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2015-09-14 21:19:21.148; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-09-14 21:19:21.150; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-09-14 21:19:21.151; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-09-14 21:19:21.166; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2015-09-14 21:19:21.167; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2015-09-14 21:19:21.175; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/Users/carlos/master-chef/solr-4.9.1/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/Users/carlos/master-chef/solr-4.9.1/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2015-09-14 21:19:21.176; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2015-09-14 21:19:21.185; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@1e061b48[collection1] main
INFO  - 2015-09-14 21:19:21.192; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: /Users/carlos/master-chef/solr-4.9.1/example/solr/collection1/conf
